lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,lon,lat,entidad,tipo_reporte,
,Derrumbe,chimalpopoca y simon bolivar,tránsito,,,,,,,,"https://www.google.com.mx/maps/place/Calle+Bolivar+%26+Chimalpopoca,+Obrera,+06080+Ciudad+de+M%C3%A9xico,+CDMX/@19.4226565,-99.1429626,16.46z/data=!4m5!3m4!1s0x85d1fed74cbde319:0x2c8af240b6ab9ebb!8m2!3d19.4222791!4d-99.1400507?hl=es-419",-99.1400000000,19.4220000000,cdmx,proteccion civil,
,Derrumbe,calzada del huevo y rancho del arco,,,,,,,,,"https://www.google.com.mx/maps/place/Calz.+del+Hueso+%26+Rancho+de+Los+Arcos,+Girasoles+II,+04920+Ciudad+de+M%C3%A9xico,+CDMX/@19.3033546,-99.1251791,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce01980e595fe7:0xaf9c91a83d84ed22!8m2!3d19.3033546!4d-99.1229904?hl=es-419",-99.125,19.303,,,
escolar,Derrumbe,calzada de las brujas y división del norte,nueva oriental coapa,,,,,,7,,"https://www.google.com.mx/maps/place/Av.+Division+del+Nte.+%26+Calz+de+las+Brujas,+Prados+Coapa+2da+Secc,+14357+Ciudad+de+M%C3%A9xico,+CDMX/@19.2966658,-99.1322727,18.09z/data=!4m5!3m4!1s0x85ce01a68cdd93a1:0xb5a40c55b0e565fb!8m2!3d19.2966443!4d-99.1313808?hl=es-419",-99.132,19.297,cdmx,proteccion civil,
residencial,Derrumbe,calle Álvaro Gálvez y Fuentes y calle cerro San Antonio,Conjunto Urbano Tlalpan,Avenida Tlalpan,,,,,,,"https://www.google.com.mx/maps/place/%C3%81lvaro+G%C3%A1lvez+y+Fuentes+4B,+Conjunto+Urbano+Tlalpan,+04400+Ciudad+de+M%C3%A9xico,+CDMX/@19.3378976,-99.142692,19z/data=!3m1!4b1!4m5!3m4!1s0x85ce01d5901183f9:0x5fc9331401119249!8m2!3d19.3378976!4d-99.1421448",-99.143,19.338,,,
,Derrumbe,baja california y torreon,,,,,,,,,"https://www.google.com.mx/maps/place/Torre%C3%B3n+%26+Calle+Baja+California,+En+Construcci%C3%B3n,+28048+Colima,+Col./@19.2340242,-103.6923966,17z/data=!3m1!4b1!4m5!3m4!1s0x842550796140f4ad:0xfaeedf8f6ac27be1!8m2!3d19.2340242!4d-103.6902079?hl=es-419",-99.163,19.405,,,
,Derrumbe,av. santa ana y ejido,Santa Cruz Atoyac,,,,,,,,"https://www.google.com.mx/maps/place/Ejido+%26+Sta.+Ana,+San+Francisco+Culhuacan,+San+Francisco+Culhuacan+de+San+Francisco,+04260+Ciudad+de+M%C3%A9xico,+CDMX/@19.3355689,-99.1195387,18.9z/data=!4m5!3m4!1s0x85ce01e169b27a57:0xd0a5974829b9a8a5!8m2!3d19.3355837!4d-99.1188329?hl=es-419",-99.120,19.336,cdmx,proteccion civil,
puente,Derrumbe,av mexico y cuahutemoc,barrio 18,,,,,,,,"https://www.google.com.mx/maps/@19.2933211,-99.1061904,3a,75y,211.74h,108.59t/data=!3m7!1e1!3m5!1sj1RY2JKhBHSOrNV2ODeUEg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dj1RY2JKhBHSOrNV2ODeUEg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D124.54439%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",-99.106,19.293,cdmx,,
,Derrumbe,av mexico y cuahutemoc,San Gregorio Atlapulco,,,,5,,4,,"https://www.google.com.mx/maps/place/San+Gregorio+Atlapulco,+Mexico+City,+CDMX/@19.2529116,-99.0560438,19z/data=!4m5!3m4!1s0x85ce03672ae3919d:0xd1263fbdc5b1e493!8m2!3d19.2531573!4d-99.0557268",-99.056,19.253,cdmx,proteccion civil,
,Derrumbe,av coyoacan y providencia,del valle,,,,,,,,"https://www.google.com.mx/maps/place/TELMEX/@19.3974597,-99.167299,21z/data=!4m6!3m5!1s0x0:0x7a389dd70b4ddda9!4b1!8m2!3d19.3974486!4d-99.1673056?hl=es-419",-99.167,19.397,cdmx,,
,Derrumbe,av Calvario y Lic. Pedro Benavides,santa cruz,,,,,,,,"https://www.google.com.mx/maps/place/Lic.+Pedro+Benavides+%26+Del+Calvario,+Santa+Cruz+Acalpixca,+16500+Ciudad+de+M%C3%A9xico,+CDMX/@19.2445601,-99.0763337,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce04742c234a45:0x1d21c935385a0a5c!8m2!3d19.244555!4d-99.074145",-99.076,19.245,cdmx,proteccion civil,
